Grade,Race,SPED,Q2_Raw_Score,Q2_%Corr,Q2_Met_Level
8.0,H,,32.0,67.0,Meets
8.0,H,,30.0,63.0,Meets
8.0,H,,28.0,58.0,Meets
8.0,H,,27.0,56.0,Meets
8.0,H,,26.0,54.0,Meets
8.0,H,,24.0,50.0,Appr
8.0,H,,24.0,50.0,Appr
8.0,H,,23.0,48.0,Appr
8.0,B,,21.0,44.0,Appr
8.0,B,,19.0,40.0,Appr
8.0,H,,19.0,40.0,Appr
8.0,H,,19.0,40.0,Appr
8.0,H,,19.0,40.0,Appr
8.0,H,,18.0,38.0,Appr
8.0,H,,18.0,38.0,Appr
8.0,B,,16.0,33.0,Not Met
8.0,H,,15.0,31.0,Not Met
8.0,H,,15.0,31.0,Not Met
8.0,H,,13.0,27.0,Not Met
8.0,H,,13.0,27.0,Not Met
8.0,W,,11.0,23.0,Not Met
8.0,W,,11.0,23.0,Not Met
8.0,B,,8.0,17.0,Not Met
8.0,H,,36.0,75.0,Meets
8.0,H,,36.0,75.0,Meets
8.0,H,,36.0,75.0,Meets
8.0,H,,34.0,71.0,Meets
8.0,H,,32.0,67.0,Meets
8.0,H,,32.0,67.0,Meets
8.0,H,,31.0,65.0,Meets
8.0,H,,30.0,63.0,Meets
8.0,H,,27.0,56.0,Meets
8.0,B,,25.0,52.0,Appr
8.0,H,,25.0,52.0,Appr
8.0,H,,25.0,52.0,Appr
8.0,H,,23.0,48.0,Appr
8.0,T,,22.0,46.0,Appr
8.0,H,,21.0,44.0,Appr
8.0,H,,20.0,42.0,Appr
8.0,H,,19.0,40.0,Appr
8.0,H,Y,16.0,33.0,Not Met
8.0,W,,15.0,31.0,Not Met
8.0,H,,14.0,29.0,Not Met
8.0,H,,13.0,27.0,Not Met
8.0,H,,12.0,25.0,Not Met
8.0,H,Y,45.0,94.0,Masters
8.0,H,,44.0,92.0,Masters
8.0,H,,41.0,85.0,Masters
8.0,H,,39.0,81.0,Masters
8.0,H,,39.0,81.0,Masters
8.0,H,,39.0,81.0,Masters
8.0,W,,38.0,79.0,Masters
8.0,H,,37.0,77.0,Masters
8.0,H,Y,34.0,71.0,Meets
8.0,H,,33.0,69.0,Meets
8.0,H,,31.0,65.0,Meets
8.0,W,Y,32.0,67.0,Meets
8.0,H,Y,12.0,25.0,Not Met
8.0,H,Y,8.0,17.0,Not Met
